"","","","",""
"1","Date","Roll Call Votes","Measure","Legislation and Additional Details"
"2","2021_0810Aug 10, 2021","43","S.Con.Res.14","Budget resolutionSenate adjourned at 5:56 a.m. on Aug 11.
	H.R.3684 and S.1 votes not included."
"3","2021_0305Mar 5, 2021","37","H.R.1319","American Rescue Plan Act 
                Senate adjourned at 1:05 p.m. on Mar 6."
"4","2021_0204Feb 4, 2021","41","S.Con.Res.5","Budget Resolution 
                Senate adjourned at 5:38 a.m. on Feb 5."
"5","2017_1019Oct 19, 2017","17","H.Con.Res.71","Budget resolution
	Roll call votes 225-228 not included.
	See Senator Enzi remarks on 163 Cong.Rec. S6615-S6616."
"6","2017_0111Jan 11, 2017","20","S.Con.Res.3","Budget resolution
		Senate adjourned at 1:35 a.m. on Jan 12."
"7","2015_1203Dec 3, 2015","19","H.R.3762","Budget reconciliation act
                H.R.22 votes not included."
"8","2015_0326Mar 26, 2015","43","S.Con.Res.11","Budget Resolution 
                Senate adjourned at 4:23 a.m. on Mar 27."
"9","2015_0122Jan 22, 2015","16","S.1","Keystone XL pipeline Senate adjourned at 12:20 a.m. on Jan 23."
"10","2014_1213Dec 13, 2014","28","Procedural votes","Procedural votes"
"11","2013_0322Mar 22, 2013","43","S.Con.Res.8","Budget resolution
		Senate adjourned at 5:22 a.m. on Mar 23."
"12","2012_0620Jun 20, 2012","18","S.3240","Farm billS.J.Res.37 vote not included."
"13","2012_0619Jun 19, 2012","16","S.3240","Farm bill"
"14","2010_0324Mar 24, 2010","29","H.R.4872","Health Care and Education Reconciliation Act
		Senate adjourned at 2:55  a.m. on Mar 25."
"15","2009_0402Apr 2, 2009","27","S.Con.Res.13","Budget resolutionSenate adjourned at 12:40  a.m. on Apr 3."
"16","2008_0313Mar 13, 2008","44","S.Con.Res.70","Budget resolution
		Senate recessed at 2:36  a.m. on Mar 14."
"17","2007_0802Aug 2, 2007","15","H.R.976","Children's Health Insurance Program  Reauthorization
	S.1 votes not included."
"18","2007_0719Jul 19, 2007","19","H.R.2669","College Cost Reduction and Access Act
	Senate adjourned at 12:52 a.m. on Jul 20."
"19","2007_0606Jun 6, 2007","16","S.1348","Comprehensive Immigration Reform Act"
"20","2007_0323Mar 23, 2007","16","S.Con.Res.21","Budget resolution"
"21","2006_0316Mar 16, 2006","20","S.Con.Res.83","Budget resolution
			Jack Zouhary nomination and H.J.Res.47 votes not included."
"22","2005_1117Nov 17, 2005","18","S.2020","Tax Relief Act
Senate adjourned at 12:58 a.m. on Nov 18."
"23","2005_1103Nov 3, 2005","21","S.1932","Deficit Reduction Act
						 H.R.2744 vote not included."
"24","2005_0317Mar 17, 2005","25","S.Con.Res.18","Budget resolution"
"25","2004_0311Mar 11, 2004","17","S.Con.Res.95","Budget resolutionSenate adjourned at 1:44 a.m. on Mar 12.
	Louis Guirola, Jr. nomination and S.Res.319 votes not included."
"26","2003_0515May 15, 2003","30","H.R.2
S.1054","Jobs and Growth Tax Relief Reconciliation Act
	 Senate adjourned at 2:19 a.m. on May 16. 
	 H.R.1298 votes not included."
"27","2003_0325
					 Mar 25, 2003","23","S.Con.Res.23","Budget resolution"
"28","2003_0321
					 Mar 21, 2003","15","S.Con.Res.23","Budget resolution"
"29","2001_0522
					 May 22, 2001","27","H.R.1836","Economic Growth and Tax Relief Reconciliation Act"
"30","2001_0521
					 May 21, 2001","17","H.R.1836","Economic Growth andTax Relief Reconciliation Act"
